new entry "Shout_FireBrand"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Master"
data "ActionPoints" "1"
data "Cooldown" "6"
data "SkillProperties" "FIRE_BRAND_AURA,100,5"
data "AreaRadius" "8"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "No"
data "MemorizationRequirements" "FireSpecialist 3"
data "Icon" "Skill_Fire_FireBrand"
data "DisplayName" "Firebrand"
data "DisplayNameRef" "Firebrand"
data "Description" "Shout_FireBrand_Description"
data "DescriptionRef" "An aura that adds fire damage to weapon attacks for all allies in aoe."
data "StatsDescriptionParams" "Weapon:Status_FireBrand:Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Voodoo_Root_03,KeepRot,Detach;RS3_FX_Skills_Fire_Prepare_Fire_Hand_03:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_aoe_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_Firebrand_01,detach:Dummy_Root"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
