new entry "SP_TOY_EXPLOSION"
type "StatusData"
data "StatusType" "ACTIVE_DEFENSE"
data "DisplayName" "SP_TOY_EXPLOSION_DisplayName"
data "DisplayNameRef" "Suicide"
data "StatusEffect" "RS3_FX_GP_Status_FlamingTongues_01"
data "TargetEffect" "RS3_FX_GP_Status_FlamingTongues_Target_01"
data "Radius" "5"
data "Charges" "999"
data "TargetConditions" "!Enemy;!Ally"
data "LeaveAction" "Projectile_SP_BomberExplosion"
data "DieAction" "Projectile_SP_BomberExplosion"
data "DescriptionRef" "Target will explode once the status expires."
data "Icon" "Skill_Fire_FireBall"
data "FormatColor" "Fire"
data "Description" "SP_TOY_EXPLOSION_Description"
