new entry "SP_SMOKEREWORK"
type "StatusData"
data "StatusType" "BLIND"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "SP_SMOKEREWORK_DisplayName"
data "DisplayNameRef" "Clouded Vision"
data "Description" "SP_SMOKEREWORK_Description"
data "DescriptionRef" "Character is in smoke. Vision is reduced."
data "Icon" "Skill_Fire_Smokescreen"
data "FormatColor" "LightGray"
data "StatusEffect" "RS3_FX_GP_Status_Blind_01:Dummy_StatusFX"
data "StatsId" "Stats_SmokeRework"
data "StackPriority" "2"

